cfi,contract_type,exercise_style,expiration_date,primary_exchange,shares_per_contract,strike_price,ticker,underlying_ticker
OPASPS,put,american,2022-01-03,BATO,100,453.0,O:SPY220103P00453000,SPY
OPASPS,put,american,2022-01-03,BATO,100,454.0,O:SPY220103P00454000,SPY
OPASPS,put,american,2022-01-03,BATO,100,455.0,O:SPY220103P00455000,SPY
OPASPS,put,american,2022-01-03,BATO,100,456.0,O:SPY220103P00456000,SPY
OPASPS,put,american,2022-01-03,BATO,100,457.0,O:SPY220103P00457000,SPY
OPASPS,put,american,2022-01-03,BATO,100,458.0,O:SPY220103P00458000,SPY
OPASPS,put,american,2022-01-03,BATO,100,459.0,O:SPY220103P00459000,SPY
OPASPS,put,american,2022-01-03,BATO,100,460.0,O:SPY220103P00460000,SPY
OPASPS,put,american,2022-01-03,BATO,100,461.0,O:SPY220103P00461000,SPY
OPASPS,put,american,2022-01-03,BATO,100,462.0,O:SPY220103P00462000,SPY
OPASPS,put,american,2022-01-03,BATO,100,463.0,O:SPY220103P00463000,SPY
OPASPS,put,american,2022-01-03,BATO,100,464.0,O:SPY220103P00464000,SPY
OPASPS,put,american,2022-01-03,BATO,100,465.0,O:SPY220103P00465000,SPY
OPASPS,put,american,2022-01-03,BATO,100,466.0,O:SPY220103P00466000,SPY
OPASPS,put,american,2022-01-03,BATO,100,467.0,O:SPY220103P00467000,SPY
OPASPS,put,american,2022-01-03,BATO,100,468.0,O:SPY220103P00468000,SPY
OPASPS,put,american,2022-01-03,BATO,100,469.0,O:SPY220103P00469000,SPY
OPASPS,put,american,2022-01-03,BATO,100,470.0,O:SPY220103P00470000,SPY
OPASPS,put,american,2022-01-03,BATO,100,471.0,O:SPY220103P00471000,SPY
OPASPS,put,american,2022-01-03,BATO,100,472.0,O:SPY220103P00472000,SPY
OPASPS,put,american,2022-01-03,BATO,100,473.0,O:SPY220103P00473000,SPY
OPASPS,put,american,2022-01-03,BATO,100,474.0,O:SPY220103P00474000,SPY
OPASPS,put,american,2022-01-03,BATO,100,475.0,O:SPY220103P00475000,SPY
OPASPS,put,american,2022-01-03,BATO,100,476.0,O:SPY220103P00476000,SPY
OPASPS,put,american,2022-01-03,BATO,100,477.0,O:SPY220103P00477000,SPY
OPASPS,put,american,2022-01-03,BATO,100,478.0,O:SPY220103P00478000,SPY
