volume,volume_weighted_average_price,open,close,high,low,timestamp,number_of_transactions
2.229771e6,128.5523,129.13,128.89,129.4025,127.93,2019-12-26,22027
2.258537e6,128.943,129.0,129.21,129.23,128.23,2019-12-27,22583
2.575815e6,129.2219,129.0,128.89,129.95,128.41,2019-12-30,23945
4.110541e6,127.9004,128.4,128.21,128.97,127.3655,2019-12-31,33793
5.187358e6,126.3126,128.74,126.07,128.9,125.26,2020-01-02,49980
5.100611e6,124.6095,124.66,124.76,125.53,123.93,2020-01-03,47758
4.307174e6,123.6687,123.97,123.58,124.6517,123.22,2020-01-06,43517
3.73084e6,123.7196,123.0,123.8,124.43,123.0,2020-01-07,37425
5.781009e6,124.0746,124.05,123.4,125.2472,123.34,2020-01-08,48353
5.231364e6,123.556,123.5,123.5,124.91,122.66,2020-01-09,44803
4.77361e6,124.8768,124.71,124.73,125.7,124.05,2020-01-10,40233
3.706082e6,123.6324,124.59,123.87,124.68,122.9267,2020-01-13,38511
3.349636e6,124.9954,123.6,125.26,125.66,123.435,2020-01-14,35469
2.7016787e7,116.8216,117.49,117.0,119.4,115.56,2020-01-15,201898
9.466446e6,116.3171,117.14,116.32,117.32,115.83,2020-01-16,78650
7.602536e6,116.8042,116.49,116.92,117.79,116.17,2020-01-17,59214
8.267417e6,114.5787,116.66,114.04,116.66,113.82,2020-01-21,60966
5.142479e6,114.2487,114.14,113.9,115.08,113.77,2020-01-22,44956
4.712065e6,114.8051,113.53,115.53,115.57,113.096,2020-01-23,46610
4.401423e6,114.5502,116.0,114.32,116.0,113.64,2020-01-24,36271
6.882762e6,115.1065,112.95,115.78,116.21,112.57,2020-01-27,53186
3.904323e6,115.8786,116.15,115.44,116.46,115.43,2020-01-28,36755
5.292052e6,114.7173,115.78,114.27,116.08,114.25,2020-01-29,32454
4.506741e6,113.8181,113.77,114.67,114.71,112.89,2020-01-30,47107
7.055347e6,111.4001,113.41,110.74,113.79,110.37,2020-01-31,65732
5.263335e6,112.7185,111.14,112.51,113.41,111.0,2020-02-03,42771
3.67019e6,113.9306,113.64,113.25,114.8,113.2,2020-02-04,35060
3.668168e6,115.4196,114.01,115.53,115.9,113.85,2020-02-05,39193
4.071326e6,115.2208,115.99,115.14,116.38,114.756,2020-02-06,40354
3.00372e6,115.1764,115.02,115.61,115.645,114.46,2020-02-07,29595
3.904278e6,116.5428,115.6,116.98,117.24,115.6,2020-02-10,35576
3.100569e6,116.3147,117.07,116.69,117.14,115.12,2020-02-11,35278
3.818139e6,118.1763,116.66,118.11,118.75,116.47,2020-02-12,38602
2.698086e6,118.1061,117.84,118.28,118.5,117.42,2020-02-13,31525
3.318899e6,116.9887,118.3,116.63,118.46,116.3,2020-02-14,37094
3.203909e6,117.4363,116.95,117.83,117.8664,116.35,2020-02-18,30871
2.914506e6,117.5005,117.69,117.39,118.13,117.05,2020-02-19,32041
2.703674e6,117.611,116.97,118.26,118.29,116.57,2020-02-20,33176
3.955414e6,117.3669,117.83,117.01,118.88,116.8,2020-02-21,36439
5.400089e6,114.1918,114.48,113.78,115.99,113.12,2020-02-24,55446
